41.043,40.043,39.011,38.09,37.18,36.152,35.305,34.329,33.425,32.489,31.53,30.741,30.134,29.104,28.159,27.319,26.297,25.55,25.121,24.133,23.164,22.237,21.279,20.478,19.718,18.755,17.918,16.99,16.108,15.338,14.821,13.96,13.064,12.247,11.289,10.418,10.719,10.066,9.4521,8.8278,8.2398,7.9105,8.7952,8.3077,7.7955,7.3284,6.7358,6.2291,7.3125,6.8571,6.4727,6.4731,5.9425,5.375,6.8361,6.8113,6.1321,6.8235,6.4286,5.7826,8.931,8.7037,9.9231,9.72,9,9.0909,9.52,8.2692,7.5385,7.64,7.2963,8.04,10.391,9.8182,8.7391,8.75,7.6667,9.0741,9.069,8.1935,7.8065,8.5385,8,7.6154,8.3261,7.3617,6.9535,6.6087,6.0435,5.6667,7.26,6.875,6.1346,6.098,6.1207,5.6034,6.0345,5.5614,5,4.7885,4.1915,3.9333,5.6129,5.1875,4.7857,4.1071,3.48,2.6957,5.4167,4.4167,4.1,3.875,3.125,2.4286,4,3,2,2,2,1,39,43,42.429,43.444,42.444,43.154,47.538,47.697,46.882,46.575,47.321,45.797,46.81,46,45.258,44.877,43.867,43.603,42.976,42.46,41.826,41.147,39.809,39.091
7.4857,6.3947,5.9444,5.5625,4.9667,4.4074,6.6667,6.0714,6.4545,5.0833,4.2308,3.1429,4.2,4,4,2.875,2.5,1.5,2.2,3.25,3,2.3333,2,2,8.1111,6.5,6.8182,6.6,6.6667,4.0625,5.7692,5.7826,6.2,5.6296,5.12,4.8571,5.0769,4.25,3.9067,4.3433,3.8356,3.6737,4.1102,3.9823,4.2336,4.6195,5.19,5.1364,5.4104,4.7899,4.7338,5.0141,4.9632,4.8507,5.3382,5.1844,5.4884,5.7459,5.5159,5.3664,6.4634,6.392,6,6.3761,5.9076,5.5294,6.6218,5.8833,5.5254,5.1786,4.5357,4.1364,5.2632,4.6458,4.0918,4.4021,4.3187,4.4545,5.7215,5.9079,5.8161,5.6559,5.6122,5.5326,6.6129,6.6512,6.0337,6.0682,5.6629,5.6082,6.2766,6.2913,6.3942,6.6731,6.7,6.6168,7.3051,7.0328,6.7752,6.4046,5.3958,5.2153,6.1583,6.0643,5.9618,5.5352,5.085,4.4474,5.6383,5.0606,4.403,5.192,5.7405,5.5462,7.9549,8.2466,8.7763,8.8161,8.9465,8.6702,9.6553,9.115,8.7131,8.5574,8.031,7.6314,7.6615,7.2278,6.5458,6.054,5.5688,4.9883,5.2747,4.697,4.4332,4,3.4974,3.1404,4.0536,3.7905,3.6629,3.5062,3.3478,3.2549
3.5,3,3.3333,2.3333,2,1,0,6,5,4,3,2,1,0,0,0,1,0,2,1.5,2,2,1.5,1,0,1,0,0,0,0,1.5,1.5,2,2,1,2.4,1.9,1.5455,2.0714,2.3125,1.5714,2.3125,2.6818,2.2,2.3214,2.3968,2.0833,2.0119,2.7037,2.1494,2.15,2.3944,1.9189,2.087,2.75,2.625,2.1928,2.2,1.6528,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4898,2.0816,2.0465,2.3158,2.4828,2.0625,2.5161,2.0714,2.24,3.1111,2.7667,3.4074,4.0884,3.4583,3.0559,2.8626,2.5412,2.2468,3.1655,2.7519,2.7438,2.6542,2.5051,2.2386,2.6094,2.6275,2.4912,2.1719,1.6481,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4857,2.6452,2.5143,2.303,1.8182,1.3667,1.9667,2.4091,2.4091,2.65,2.5,2.0417,2.8,2.5938,2.7813,2.925,3.1471,3.4783,4.0891,3.4298,2.9858,3.0679,3.0132,2.6364,3.4765,3.3598,3.172,3.0373,3.0081,2.7059,3.4479,3.2022,3,2.9688,2.9434,2.4355,3.8718,4.1667,3.825,3.4737,3.4444,3.5625,3.7187,3.2581,3.4348,3.1905,2.7143,2.3684,3.5,3.3333,2.25,1.7778,1.75,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,7,6,5,4,3,2.5,1.5,3,3,2,1.5,6,5,8,7,6,5,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,2,1,0,4,3,2,1,0,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.5,9.5,8.6667,7.6667,8.5714,7.5714,9,8,7,6.4444,5.4444,4.1,5.1667,4.75,5,5.125,4.1111,4.75,9.4,9.3333,9.1,8.0909,7.0909,6.0909,7.4444,10,8.8,9.75,8.5333,8.5714,7.4375,6.75,6.3125,5.3684,4.5,4.1176,5.8333,6.25,7.4444,6.5455,5.5,6.3478,7.2222,6.4516,5.4545,5.8824,5.4848,6.125,7.2564,7.925,7.3478,7.2241,6.5517,7.0351,8.4493,7.9,7.3514,8.0933,7.7237,7.5135,8.4247,7.5412,7.0465,6.7957,6.2421,6.2088,6.0769,5.27,4.4486,3.6762,2.9091,2.5,4.5588,3.6857,3.5938,3.8333,4.7812,5.3448,8.7937,8.7206,7.5065,7.0897,6.6447,6.9041,7.5811,6.6747,6.7037,6.3797,6.1205,6.5139,7.3333,6.6905,6.4598,6.0562,5.5632,5.4933,6.7857,6.2208,5.9765,5.8272,5.4933,5.0571,5.9077,5.5972,5.2121,4.4615,3.619,3.3636,5.6129,5.0294,4.7742,5.2727,4.9697,5.5714,7.3438,7.4138,7.9667,7.8065,7.4194,6.9375,7.7742,6.9355,6.9667,6.5357,6.2069,6.48,6.9615,6.3077,5.5,4.8148,4.4783,5.0476,6.1667,5.5556,5.1111,4.75,4.2667,4.1538,4.5385,3.7333,3.0714,2.2,1.8,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1.5,1,2,1,0,0,2.25,2.5,1.75,1.5,1,1,0,4,3.5,3.8333,3.2857,3.3636,3.5833,4.5,4.2667,4.0769,3.9091,3.3636,3.8,4.0909,4.0833,3.8667,3.3846,4.1111,4.3077,3.8571,3.6,4.1429,4.3333,4.0769,3.95,3.88,3.8148,3.52,2.8462,3.25,4.3333,4,3.2632,3.5,3.2667,3.4211,3.2941,2.9412,2.75,3.5217,3.4,3.3636,4.04,3.4074,3.4286,3.6667,4.2353,3.6667,3.9231,3.125,2.4667,2.3,2.125,2.5714,3.3333,4.875,4.1111,3.0909,3.8333,3.5,3.6667,3.4286,4,3,2.6667,3.3333,4.3333,3.3333,3.1667,2.3333,4,3,4,3,3.3333,2.3333,2,1,0,0,0,0,0,0
5,4,3,4,2.3333,1.3333,2,2,1,0,0,0,0,0,0,0,0,1,2,1,14,13,12,4.6667,2.8,9,8,6.25,8.6667,5.6667,4.375,5.0909,6.4,6.0833,6.7778,5.7,5.35,4.6,4,4.2,3.3636,3.25,4.84,5.6957,5.1538,4.7692,5.5,5.2143,6.1724,5.931,6.7241,7.8214,7.4848,6.85,7.8182,7.875,7.5455,7.9687,7.6571,6.9241,7.5376,7.4227,6.9608,7.0826,6.6204,5.7434,6.0565,5.7561,5.2773,4.6991,4.3182,3.4831,4.84,4.2179,3.8553,4.0494,3.6125,4.1848,6.557,6.4658,6.3614,6.4167,6,5.2708,6.7835,6.3981,6.359,5.9561,6.0684,5.3833,5.8908,6.1048,5.7379,5.6019,5.4818,4.8276,5.7212,5.5189,5.2887,4.9362,4.7692,4.3469,4.8621,4.7564,3.8587,3.5854,3.0959,2.9231,4.2973,4.4634,3.8298,4.2381,4.2727,4.8718,5.9149,6.0943,5.9138,6.1935,5.3824,4.7246,5.7742,5.5424,5.4242,5.2258,5,4.75,5.0545,4.3273,4.2128,4.0698,3.5238,3.3333,4.2667,4.0769,3.6522,2.9524,2.5,2.3125,2.5833,3.1667,2,2.3333,1.75,1.75
5.75,4.75,3.75,4.75,5,4,4.5,3.3333,2.3333,1.3333,1,0,3.5,2.5,2,1.5,1,0,3,2,1,0,0,0,0,0,0,0,5,4,4.3333,2.25,3.8182,4.4,3.9091,3.3,4.75,4.3125,3.6316,2.9118,2.8065,2.8421,3.8298,3.4167,3.3548,3.7077,3.3538,3.2813,4.1667,4.2143,3.6622,3.7442,3.427,3.3294,4.0984,3.9524,3.9464,4.1364,3.7705,3.8852,4.697,4.5,4.9455,4.8571,4.7091,4.5091,5.037,4.3774,3.7018,3.6207,3.3273,2.7143,3.717,4,3.4348,3.4318,3.3571,3.3269,4.4694,3.5574,3.4444,3.7705,3.4561,3.3462,4.4318,4.3962,4.463,5.5,4.7111,4.2857,5.2444,4.7778,4.3913,4.3265,3.8333,3.8,4.9524,5.0952,4.55,4.4884,3.9762,3.878,5,4.6349,4.3514,4.3288,3.859,3.4024,3.8235,3.3196,3.1277,3.3061,2.9063,2.7241,3.9722,3.5714,3.5634,3.9867,3.7945,3.3506,4.1918,4,4.1642,3.7397,3.7937,3.2031,4.082,3.7069,3.58,3.8409,3.5227,2.8605,3.4545,3.0294,2.9677,2.8276,2.3462,2.35,2.4667,1.8,1.6429,2.1429,2.2857,3
