35.355,34.358,33.385,32.455,31.501,30.672,29.848,28.903,27.972,27.056,26.143,25.391,24.807,23.862,22.966,22.07,21.121,20.387,19.771,18.86,17.934,17.055,16.125,15.337,14.815,13.979,13.116,12.273,11.397,10.647,10.392,9.6138,8.8408,8.1148,7.2927,6.4917,7.0541,6.6085,6.0807,5.8928,5.3331,5.0228,6.1,6.0521,5.9091,6.0581,5.7422,5.4532,6.8973,6.9499,6.7752,6.8731,6.342,6.1004,8.1372,7.7556,7.1234,6.7898,6.3636,6.1857,7.1825,6.9228,6.4714,6.1772,5.8464,5.7598,6.2473,5.699,5.1404,4.4891,4.0051,3.5101,5.2727,4.8389,4.607,4.7414,4.3737,4.4868,5.8155,5.3539,4.9192,4.8273,4.4493,4.3033,5.6355,5.2036,4.8937,4.7953,4.448,4.3337,5.3754,5.0118,4.63,4.4435,4.0256,3.715,4.997,4.6444,4.3176,4.3407,4.0888,3.7061,4.608,4.4514,4.237,4.0631,3.5547,3.103,5.8906,5.5547,6.292,6.7551,7.0753,7.5444,12.27,15.817,18.131,24.316,25.556,28.746,38.245,38.167,39.247,41.479,42.262,44.103,45.693,45.051,44.627,44.39,43.642,43.134,43.23,42.535,42.076,41.43,40.756,39.996,39.409,38.505,37.715,36.852,36.003,35.197
6.8299,6.1948,5.5878,5.2701,4.8541,4.2954,5.3906,5.3556,4.9626,4.9896,4.9605,4.2944,5.3927,6.411,5.8896,5.9655,5.8296,3.9045,5.0329,5.7784,6.4026,6.7628,6.4161,4.7456,5.5497,6.3799,6.0158,5.5376,5.4807,5.0815,5.788,6.0999,5.759,5.6609,5.3137,4.6753,5.0192,4.6781,4.5051,4.3017,4.0287,3.8058,4.1014,3.965,4.1571,4.6128,4.8578,5.0877,6.1241,5.9951,5.9939,6.0619,5.8301,5.6187,6.3165,5.9991,5.8685,5.9105,5.6769,5.5237,6.6164,6.3497,6.1917,6.0509,5.6998,5.4141,5.7934,5.2544,4.7447,4.3695,3.8103,3.2353,4.4804,3.9673,3.8892,4.3383,4.4536,4.6489,6.3853,6.2867,6.1694,6.2677,6.0099,5.7797,6.9492,6.7035,6.5775,6.5148,6.2675,6.0725,7.2459,6.9155,6.7279,6.5327,6.3364,6.0434,6.889,6.6295,6.3204,6.0856,5.696,5.4098,5.9454,5.4581,5.0299,4.7861,4.3451,3.7849,5.2929,4.8002,4.8886,5.4412,5.6324,6.1296,8.2103,8.3109,8.4735,8.6495,8.3831,8.1343,8.6533,8.111,7.6836,7.3072,6.8036,6.3928,6.7504,6.2553,5.7878,5.5215,5.0475,4.7298,5.4814,5.021,4.6399,4.3324,3.8262,3.4085,4.1089,3.8479,3.6807,3.5262,3.2383,3.6995
4.0667,3.0625,3,2.4667,1.9412,2,3.25,2.7273,2.3333,1.8,1.5,1.3333,1.5385,2.2,2.4286,1.8333,2.1667,1.1538,1.1667,1,1,1,5.3333,3,1.8889,1.6923,1.7,1.6,1.8571,1.5417,1.5,1.4516,2.2308,2.2464,2.1216,1.8133,2.5,1.9949,2.1734,2.3325,2.099,2.249,2.6149,2.1929,2.1966,2.273,1.9826,1.9392,2.4558,2.1162,1.9594,2.1618,1.9871,1.7674,2.4113,2.0745,1.9728,1.9476,1.607,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2348,2.0447,1.9891,2.2402,2.2623,2.1695,2.74,2.67,2.9523,3.2433,3.3016,3.3344,3.7234,2.9675,2.7006,2.7594,2.4821,2.2974,2.9499,2.6453,2.5175,2.5838,2.3856,2.1586,2.7331,2.4765,2.256,2.1057,1.6757,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.581,2.4108,2.5371,2.4969,2.3232,2.1354,2.5607,2.4307,2.4189,2.3542,2.1563,2.0331,2.7638,2.557,2.5975,2.6465,2.4453,2.3123,3.2208,2.5554,2.4369,2.5704,2.3717,2.3465,2.9649,2.5858,2.3658,2.504,2.3207,2.1501,2.769,2.5598,2.4112,2.4257,2.2022,2.0239,2.849,2.7855,2.6488,2.6731,2.263,2.1958,3.1088,2.9741,3.051,2.9597,2.6343,2.386,2.8,2.6163,2.274,2.0566,1.5833,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.6667,5.5,13.333,13.2,12.2,17.2,18.833,15.625,16.714,13.889,12.929,12.818,12.259,12.171,10.096,8.8594,8,7.1692,6.7273,6.099,5.7064,5.4713,5.2897,5.5094,5.3131,5.1845,4.9618,4.8027,4.6655,5.0412,4.6346,4.1581,3.7582,3.698,3.5349,4.4196,3.8476,3.7442,4.8182,5.2364,5.54,7.46,6.5818,5.8788,5.7013,5.2637,5.5895,5.3636,5.0956,4.9317,4.5814,4.5123,4.5232,4.5683,4.4361,4.188,4.0744,3.6293,3.6275,4.4023,4.2593,4.0132,4.0141,3.4308,3.0484,3.25,2.6842,2.6,2.4348,2.25,2.0909,3,2.8571,3.7143,3.1667,2.1429,1.6667,2.3333,1.3333,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7.5,6.5,5.5,4.5,3.5,2.5,1.5,1
6.5,5.2,4.2,3.5,2.5714,1.8333,2.5,2,3,2,1,2,2,1,0,1,6,5,4,3,2,1,0,2.5,1.25,5.5,7.5,13.25,10.6,10.286,8.7333,7.6154,7.2424,6.7692,5.6304,5.1765,5.2857,4.6133,4.598,4.2479,3.8291,3.6857,4.1795,3.9922,3.7698,3.9237,4.4365,4.8629,4.6012,4.544,4.2769,4.1408,4.0383,4.0843,4.6014,4.4079,4.2929,4.4789,4.6022,4.9644,6.1084,5.8792,5.5144,5.3197,4.9625,4.5827,5.0484,4.7373,4.254,3.7358,3.3034,2.9469,4.0735,4.0303,5.0226,4.9921,4.736,5.0804,6.1613,5.5429,5.0167,4.9,5.0515,5.3901,6.2892,5.6224,5.3828,5.2731,4.9358,4.969,5.6364,5.6646,5.6535,5.4415,5.0951,4.5768,4.8247,4.6923,4.4464,4.14,4.1308,3.9305,4.213,4.1471,3.9275,3.5807,3.3891,2.9734,3.8769,3.5526,3.35,3.3923,3.0945,2.9515,4.0899,3.7386,3.5977,3.6282,3.973,3.7917,3.9583,3.5652,3,3.4464,2.9811,2.814,3.3947,3.2105,2.6905,3.3514,2.8125,2.4828,4.1667,4.0455,3.3333,2.913,2.5217,2.4091,3.6,3.875,4.1667,4,3,2.2
10,9,8,7,7,7.3333,6,4.9091,4.0909,3.4,3,3.2,3,3.3333,4.25,4.3333,5,4,6,5.5,4.5,3.5,4,3,3,4,3,5.5,4.5,7,6,5,4.25,4.3333,3.3333,2.3333,5,3,3,2,1.25,5,4.1667,3.2,2.7778,2.375,2.1111,1.8889,2.4444,2.8889,3.5333,2.8636,3,2.3704,2.5862,2.6,3.1489,2.918,3.1765,3.3699,3.4737,3.5504,3.7755,3.7029,3.3671,3.4774,3.7467,3.6404,3.4695,3.1678,2.956,2.8697,3.5415,3.1324,3.0566,3.066,3.0347,2.9158,4.0049,3.7107,3.6382,3.5731,3.5098,3.5909,4.0498,3.7656,3.7115,3.5981,3.4755,3.3432,3.9132,3.6918,3.5815,3.3562,3.1111,3.1306,3.4415,3.3156,3.1284,3.0742,3.0231,2.9666,3.2067,2.9817,2.7715,2.5174,2.1945,2.0773,2.619,2.3162,2.4609,2.3143,1.9875,2.1091,3,3.3488,2.9804,2.9077,2.6923,2.3636,3.878,3.75,3.3137,3.4255,3.3077,3,2.8043,2.7143,2.2778,2.5938,3.1739,3.08,3.7391,4.15,3.5455,3.1818,2.8095,2.25,3.5217,2.88,2.1364,2,1.5,1
8.88,8.2083,7.375,6.9545,6.3182,5.5,7.7143,7.2308,6.75,7.4,6.6,6,6.375,7.1667,9.25,11,10,8.5,7.75,8,6.5,6.7778,7.2727,5.8333,8.5652,8.1563,7.8039,8.1625,7.8077,7.5949,7.0038,6.1333,5.7594,5.5601,4.9977,4.7585,5.4598,5.037,4.8696,4.7068,4.1757,3.9425,4.8134,4.5639,4.4745,4.5633,4.696,5.0116,6.4457,6.5474,6.4028,6.5844,6.9217,6.9204,8.1165,8.1335,7.8576,7.5345,7.2581,6.8744,7.5301,7.0953,6.7362,6.4342,5.9518,5.4637,5.6791,5.1692,4.6306,4.1695,3.5384,3.1462,4.6199,4.5469,4.6011,5.7129,5.8449,5.9609,7.6203,7.6443,7.4208,7.3089,6.9294,6.6934,7.6726,7.4729,7.1447,6.7164,6.2491,6.0355,6.7127,6.384,6.0548,5.8584,5.372,5.0259,5.6581,5.3997,5.0301,4.7213,4.3783,4.1109,4.7893,4.4031,4.0807,3.8712,3.587,3.1897,4.8146,4.6654,4.3607,4.5268,4.4141,4.496,5.5887,5.469,5.509,5.5119,5.2891,5.0795,5.6811,5.1976,4.9056,4.8044,4.531,4.1496,4.9337,4.6382,4.4009,4.2132,3.9294,3.6719,4.3012,3.9955,3.5,3.2914,3.0327,2.728,3.5333,3.4516,3.5472,3.4048,2.725,2.1471
4.875,4.1648,3.7935,3.9737,3.7361,3.3846,4.4615,3.898,4.2683,4.625,4.5385,4.1556,3.8548,3.6167,3.5686,3.6977,4.0303,3.4211,4.0377,3.9787,4.5128,4.4286,4.1026,3.64,3.7976,3.8276,3.8125,4.1585,3.6804,3.5398,3.8592,4.0606,4.047,4.3944,4.1942,3.8875,4.3636,4.0533,3.946,3.8406,3.5298,3.4222,3.9855,3.723,3.6955,3.9025,3.7606,3.5956,4.2001,4.0227,3.9226,4.0621,4.0183,4.0243,4.7846,4.6117,4.6465,4.8832,4.7254,4.6264,5.4474,5.1767,4.9462,4.966,4.7816,4.4846,5.1518,4.8366,4.5339,4.1788,3.5441,2.9889,3.602,3.1623,3.1518,3.3442,3.228,3.0578,4.0298,3.9898,4.1125,4.2469,4.2029,4.1792,4.9398,4.9572,4.9636,4.9414,4.6426,4.7375,5.4869,5.298,5.1355,5.2744,5.0641,4.8542,5.6588,5.4887,5.5015,5.587,5.4385,5.2117,5.6681,5.2107,4.8453,4.5547,4.0613,3.6464,4.2972,3.7116,3.4489,3.5261,3.2159,3.0274,3.9095,3.7202,3.7803,3.9807,3.9204,3.8585,4.6729,4.5518,4.5367,4.4695,4.1359,3.8504,4.2341,3.9548,3.699,3.5031,3.1535,2.8279,3.2943,3.0643,2.9315,2.9517,2.8281,2.4884,3.0157,2.8053,2.75,2.8125,2.6216,2.413
