,노선 ID,노선명,출발 시간
1,293000169,1000번 (반석역~홍익대학교),5.5
2,293000169,1000번 (반석역~홍익대학교),5.75
3,293000169,1000번 (반석역~홍익대학교),6
4,293000169,1000번 (반석역~홍익대학교),6.25
5,293000169,1000번 (반석역~홍익대학교),6.5
6,293000169,1000번 (반석역~홍익대학교),6.75
7,293000169,1000번 (반석역~홍익대학교),7
8,293000169,1000번 (반석역~홍익대학교),7.25
9,293000169,1000번 (반석역~홍익대학교),7.5
10,293000169,1000번 (반석역~홍익대학교),7.75
11,293000169,1000번 (반석역~홍익대학교),8
12,293000169,1000번 (반석역~홍익대학교),8.25
13,293000169,1000번 (반석역~홍익대학교),8.5
14,293000169,1000번 (반석역~홍익대학교),8.75
15,293000169,1000번 (반석역~홍익대학교),9
16,293000169,1000번 (반석역~홍익대학교),9.25
17,293000169,1000번 (반석역~홍익대학교),9.5
18,293000169,1000번 (반석역~홍익대학교),9.75
19,293000169,1000번 (반석역~홍익대학교),10
20,293000169,1000번 (반석역~홍익대학교),10.25
21,293000169,1000번 (반석역~홍익대학교),10.5
22,293000169,1000번 (반석역~홍익대학교),10.75
23,293000169,1000번 (반석역~홍익대학교),11
24,293000169,1000번 (반석역~홍익대학교),11.25
25,293000169,1000번 (반석역~홍익대학교),11.5
26,293000169,1000번 (반석역~홍익대학교),11.75
27,293000169,1000번 (반석역~홍익대학교),12
28,293000169,1000번 (반석역~홍익대학교),12.25
29,293000169,1000번 (반석역~홍익대학교),12.5
30,293000169,1000번 (반석역~홍익대학교),12.75
31,293000169,1000번 (반석역~홍익대학교),13
32,293000169,1000번 (반석역~홍익대학교),13.25
33,293000169,1000번 (반석역~홍익대학교),13.5
34,293000169,1000번 (반석역~홍익대학교),13.75
35,293000169,1000번 (반석역~홍익대학교),14
36,293000169,1000번 (반석역~홍익대학교),14.25
37,293000169,1000번 (반석역~홍익대학교),14.5
38,293000169,1000번 (반석역~홍익대학교),14.75
39,293000169,1000번 (반석역~홍익대학교),15
40,293000169,1000번 (반석역~홍익대학교),15.25
41,293000169,1000번 (반석역~홍익대학교),15.5
42,293000169,1000번 (반석역~홍익대학교),15.75
43,293000169,1000번 (반석역~홍익대학교),16
44,293000169,1000번 (반석역~홍익대학교),16.25
45,293000169,1000번 (반석역~홍익대학교),16.5
46,293000169,1000번 (반석역~홍익대학교),16.75
47,293000169,1000번 (반석역~홍익대학교),17
48,293000169,1000번 (반석역~홍익대학교),17.25
49,293000169,1000번 (반석역~홍익대학교),17.5
50,293000169,1000번 (반석역~홍익대학교),17.75
