,노선ID,노선명,정류장ID,정류장명,정류장 순서,X좌표,Y좌표
121,187000004,1002번 (충대농대종점~세종국책연구단지),186004803,군수사령부,17,127.30335,36.38969
122,187000004,1002번 (충대농대종점~세종국책연구단지),186004304,반석2통,18,127.30674,36.39030
123,187000004,1002번 (충대농대종점~세종국책연구단지),186004944,반석마을5단지,19,127.31258,36.39158
124,187000004,1002번 (충대농대종점~세종국책연구단지),186004227,반석마을입구,20,127.31240,36.39520
125,187000004,1002번 (충대농대종점~세종국책연구단지),186004455,외삼삼거리,21,127.30990,36.39935
126,187000004,1002번 (충대농대종점~세종국책연구단지),293064247,세종고속시외버스터미널,22,127.27501,36.46847
127,187000004,1002번 (충대농대종점~세종국책연구단지),293064232,대평동(해들마을),23,127.27639,36.47192
128,187000004,1002번 (충대농대종점~세종국책연구단지),293064207,보람동(해들마을),24,127.28050,36.47465
129,187000004,1002번 (충대농대종점~세종국책연구단지),293064079,세종시청.교육청.시의회,25,127.28835,36.47819
130,187000004,1002번 (충대농대종점~세종국책연구단지),293064164,세종우체국(보람초등학교),26,127.29314,36.48026
131,187000004,1002번 (충대농대종점~세종국책연구단지),293064215,소담동(새샘마을),27,127.29770,36.48238
132,187000004,1002번 (충대농대종점~세종국책연구단지),293064253,법원.검찰청,28,127.30174,36.48710
133,187000004,1002번 (충대농대종점~세종국책연구단지),293064245,국책연구단지남측,29,127.30402,36.49104
134,187000004,1002번 (충대농대종점~세종국책연구단지),293064078,국책연구단지북측,30,127.30342,36.49598
135,187000004,1002번 (충대농대종점~세종국책연구단지),293057001,한국조세재정연구원,31,127.30037,36.49277
136,187000004,1002번 (충대농대종점~세종국책연구단지),293064244,법원.검찰청,32,127.30137,36.48708
137,187000004,1002번 (충대농대종점~세종국책연구단지),293064217,소담동(새샘마을),33,127.29732,36.48271
138,187000004,1002번 (충대농대종점~세종국책연구단지),293064165,세종우체국(보람초등학교),34,127.29277,36.48054
139,187000004,1002번 (충대농대종점~세종국책연구단지),293064080,세종시청.교육청.시의회,35,127.28782,36.47840
140,187000004,1002번 (충대농대종점~세종국책연구단지),293064208,보람동(호려울마을),36,127.28173,36.47576
141,187000004,1002번 (충대농대종점~세종국책연구단지),293064231,대평동(해들마을),37,127.27631,36.47230
142,187000004,1002번 (충대농대종점~세종국책연구단지),293064248,세종고속시외버스터미널,38,127.27484,36.46823
143,187000004,1002번 (충대농대종점~세종국책연구단지),186004454,외삼1통,39,127.31015,36.39843
144,187000004,1002번 (충대농대종점~세종국책연구단지),186004228,반석마을입구,40,127.31195,36.39535
145,187000004,1002번 (충대농대종점~세종국책연구단지),186004978,반석역3번출구,41,127.31274,36.39177
146,187000004,1002번 (충대농대종점~세종국책연구단지),186004305,반석2통,42,127.30856,36.39085
147,187000004,1002번 (충대농대종점~세종국책연구단지),186001448,군수사령부,43,127.30378,36.38993
148,187000004,1002번 (충대농대종점~세종국책연구단지),186001449,꿈에그린아파트,44,127.30299,36.38834
149,187000004,1002번 (충대농대종점~세종국책연구단지),186001450,해랑숲마을5단지,45,127.30446,36.38599
150,187000004,1002번 (충대농대종점~세종국책연구단지),186001451,해랑숲마을6단지,46,127.30803,36.38487
151,187000004,1002번 (충대농대종점~세종국책연구단지),187001443,에코힐7단지,47,127.30592,36.38202
152,187000004,1002번 (충대농대종점~세종국책연구단지),186001452,새미래중학교,48,127.30589,36.37904
153,187000004,1002번 (충대농대종점~세종국책연구단지),187001444,노은휴먼시아4단지,49,127.30423,36.37788
154,187000004,1002번 (충대농대종점~세종국책연구단지),187001445,영무예다음아파트,50,127.30515,36.37440
155,187000004,1002번 (충대농대종점~세종국책연구단지),187001447,월드컵경기장역,51,127.31621,36.36669
156,187000004,1002번 (충대농대종점~세종국책연구단지),186004142,노은농수산도매시장,52,127.32150,36.36670
157,187000004,1002번 (충대농대종점~세종국책연구단지),186004544,죽동네거리,53,127.33152,36.36652
158,187000004,1002번 (충대농대종점~세종국책연구단지),186004713,온천2동주민센터,54,127.33516,36.36516
159,187000004,1002번 (충대농대종점~세종국책연구단지),187001446,충남대학교,55,127.34312,36.36235
160,187000004,1002번 (충대농대종점~세종국책연구단지),186004169,궁동,56,127.34951,36.36067
161,187000004,1002번 (충대농대종점~세종국책연구단지),186004176,한빛아파트,57,127.35317,36.36223
162,187000004,1002번 (충대농대종점~세종국책연구단지),186001447,충대농대종점,58,127.35217,36.36739
