,노선ID,노선명,정류장ID,정류장명,정류장 순서,X좌표,Y좌표,GPS X좌표,GPS Y좌표
32,293000168,1000번 (홍익대학교~반석역),293001055,고려대학교,4,127.29309,36.61084,127.29309,36.61084
33,293000168,1000번 (홍익대학교~반석역),293064084,세종세무서,5,127.29399,36.60593,127.29399,36.60593
34,293000168,1000번 (홍익대학교~반석역),293001072,조치원역뒤편,6,127.29511,36.59973,127.29511,36.59973
35,293000168,1000번 (홍익대학교~반석역),293064034,신흥사거리,7,127.29097,36.59447,127.29097,36.59447
36,293000168,1000번 (홍익대학교~반석역),293001052,자이아파트,8,127.29173,36.59083,127.29173,36.59083
37,293000168,1000번 (홍익대학교~반석역),293016126,월하리,9,127.29256,36.57825,127.29256,36.57825
38,293000168,1000번 (홍익대학교~반석역),293064250,봉암리,10,127.28429,36.56142,127.28429,36.56142
39,293000168,1000번 (홍익대학교~반석역),293064098,가락마을22단지,11,127.24111,36.52018,127.24111,36.52018
40,293000168,1000번 (홍익대학교~반석역),293064096,"두루초,중학교",12,127.23918,36.51872,127.23918,36.51872
41,293000168,1000번 (홍익대학교~반석역),293064234,"가락마을20,21단지",13,127.24079,36.51730,127.24079,36.51730
42,293000168,1000번 (홍익대학교~반석역),293064203,고운뜰공원(국민건강보험공단),14,127.24129,36.51142,127.24129,36.51142
43,293000168,1000번 (홍익대학교~반석역),293064060,가락마을8단지,15,127.24059,36.50893,127.24059,36.50893
44,293000168,1000번 (홍익대학교~반석역),293064205,"가락마을7,8단지",16,127.24027,36.50519,127.24027,36.50519
45,293000168,1000번 (홍익대학교~반석역),293064061,종촌고등학교,17,127.24365,36.50507,127.24365,36.50507
46,293000168,1000번 (홍익대학교~반석역),293064125,가재마을7단지,18,127.24875,36.50495,127.24875,36.50495
47,293000168,1000번 (홍익대학교~반석역),293064139,"가재마을5,8단지",19,127.24978,36.50092,127.24978,36.50092
48,293000168,1000번 (홍익대학교~반석역),293062002,어진중학교(가재마을9단지),20,127.25504,36.49866,127.25504,36.49866
49,293000168,1000번 (홍익대학교~반석역),293054001,다정동(성남고등학교),21,127.25619,36.49386,127.25619,36.49386
50,293000168,1000번 (홍익대학교~반석역),293053003,새롬동.나성동,22,127.25713,36.48774,127.25713,36.48774
51,293000168,1000번 (홍익대학교~반석역),293053008,한솔동(첫마을),23,127.26155,36.48114,127.26155,36.48114
52,293000168,1000번 (홍익대학교~반석역),293055059,세종고속시외버스터미널,24,127.27350,36.46881,127.27350,36.46881
53,293000168,1000번 (홍익대학교~반석역),293064353,대평동커뮤니티센터,25,127.27883,36.47225,127.27883,36.47225
54,293000168,1000번 (홍익대학교~반석역),293011028,금남면사무소,26,127.28097,36.46472,127.28097,36.46472
55,293000168,1000번 (홍익대학교~반석역),293011033,발산리,27,127.28405,36.45638,127.28405,36.45638
56,293000168,1000번 (홍익대학교~반석역),186004229,반석역,28,127.31487,36.39155,127.31487,36.39155
57,293000178,1004번 (반석역~장군면사무소),186004230,반석역,1,127.31514,36.39142,127.31514,36.39142
58,293000178,1004번 (반석역~장군면사무소),293055058,세종고속시외버스터미널,2,127.27359,36.46899,127.27359,36.46899
59,293000178,1004번 (반석역~장군면사무소),293064010,첫마을3단지,3,127.26117,36.47821,127.26117,36.47821
60,293000178,1004번 (반석역~장군면사무소),293064007,한솔중학교(첫마을7단지),4,127.25558,36.47538,127.25558,36.47538
61,293000178,1004번 (반석역~장군면사무소),293064005,첫마을6단지,5,127.25308,36.47542,127.25308,36.47542
62,293000178,1004번 (반석역~장군면사무소),293064002,첫마을5단지,6,127.25004,36.47770,127.25004,36.47770
63,293000178,1004번 (반석역~장군면사무소),293064004,첫마을4단지,7,127.25203,36.47998,127.25203,36.47998
64,293000178,1004번 (반석역~장군면사무소),293064241,"새뜸마을5,8단지",8,127.25352,36.48250,127.25352,36.48250
65,293000178,1004번 (반석역~장군면사무소),293064239,새롬동커뮤니티센터,9,127.25086,36.48585,127.25086,36.48585
66,293000178,1004번 (반석역~장군면사무소),293064237,"가온마을4,7단지",10,127.24981,36.49123,127.24981,36.49123
67,293000178,1004번 (반석역~장군면사무소),293064263,다정동커뮤니티센터,11,127.24904,36.49551,127.24904,36.49551
68,293000178,1004번 (반석역~장군면사무소),293064307,"가온마을6,9단지",12,127.24918,36.49861,127.24918,36.49861
69,293000178,1004번 (반석역~장군면사무소),293064138,"가재마을5,8단지",13,127.24986,36.50047,127.24986,36.50047
70,293000178,1004번 (반석역~장군면사무소),293064151,가재마을11단지,14,127.25017,36.50438,127.25017,36.50438
71,293000178,1004번 (반석역~장군면사무소),293061004,범지기마을4단지,15,127.24997,36.50839,127.24997,36.50839
